"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,0938435;-0,0177216666667;-0,0894340740741
0,1;2,0935005;-0,0260108333333;0,0130530555556
0,15;2,0907565;-0,0234955;0,146378425926
0,2;2,090242;-0,00628833333333;0,194705432099
0,25;2,0907565;0,00209611111111;0,127661635802
0,3;2,0907565;0,00438277777778;0,0705902469136
0,35;2,0907565;0,0112427777778;-0,0263601851852
0,4;2,092643;0,00352527777778;-0,131536265432
0,45;2,0914425;-0,00819388888889;-0,132224382716
0,5;2,0914425;-0,0151491666667;-0,0600779320988
0,55;2,08887;-0,00114333333333;-0,309652777778
0,6;2,0924715;-0,0283927777778;-0,88581867284
0,65;2,087155;-0,0645983333333;-1,97103256173
0,7;2,0941865;-0,265443888889;-2,48325648148
0,75;2,0475385;-0,280688333333;-3,10547330247
0,8;2,083725;-0,590912777778;-2,51041064815
0,85;1,993859;-0,838635;3,20805570988
0,9;1,961274;-0,366914722222;8,43864691358
0,95;1,905365;0,742595;0,059125154321
1;2,113223;0,423223888889;-20,4445467593
1,05;2,095044;-2,36460388889;-21,8133708333
1,1;1,7493;-3,01782833333;-0,698280246914
1,15;1,684473;-1,72128833333;9,66016095679
1,2;1,64297;-1,26986222222;5,77790910494
1,25;1,579172;-1,22489111111;0,909743981481
1,3;1,51949;-1,33931972222;-1,45489166667
1,35;1,446431;-1,46746833333;-1,16847608025
1,4;1,369942;-1,51663166667;0,582570679012
1,45;1,2874505;-1,41659;2,46922947531
1,5;1,2226235;-1,202215;2,97420169753
1,55;1,170659;-1,04548305556;1,89406929012
1,6;1,1228105;-0,9904125;0,15821404321
1,65;1,074962;-1,03252527778;-1,50168364198
1,7;1,023855;-1,16572361111;-2,41640324074
1,75;0,9622865;-1,35789888889;-1,60278395062
1,8;0,879795;-1,39019805556;0,427797222222
1,85;0,8154825;-1,26728972222;1,52523842593
1,9;0,753571;-1,15086027778;0,89693441358
1,95;0,7046935;-1,12256277778;-0,792922839506
2;0,6515285;-1,28034277778;-1,57631790123
2,05;0,5726385;-1,37552527778;-0,582041358025
2,1;0,5060965;-1,32741;0,36830154321
2,15;0,441784;-1,29835027778;0,692404783951
2,2;0,375242;-1,24756722222;0,972733179012
2,25;0,3219055;-1,25252166667;2,31858472222
2,3;0,2443875;-1,12161;5,41246589506
2,35;0,191051;-0,654463055556;7,28329799383
2,4;0,181447;-0,219234166667;5,82194861111
2,45;0,1819615;-0,0234383333333;3,31354938272
2,5;0,183505;0,0537366666667;2,63887685185
2,55;0,191737;0,0217233333333;8,68578688272
2,6;0,1816185;0,357482222222;27,9531237654
2,65;0,199283;1,95891111111;58,3857458333
2,7;0,185563;6,73442388889;70,3418048148
2,75;0,7513415;12,8154327778;12,4237564198
2,8;1,995231;9,37447583333;-69,615735216
2,85;1,904336;1,87729616667;-82,1037512037
2,9;1,8472265;-0,795378888889;-59,5610819136
2,95;1,7113985;-2,31677444444;-42,1844690123
